replay_id,turn,rating,p1_total_hp,p2_total_hp,hp_difference,p1_fainted,p2_fainted,fainted_difference,has_weather,has_terrain,has_trick_room,p1_active_count,p2_active_count,p1_win
gen9vgc2025regj-2483572328,15,1123,3.46,2.46,0.5,3,3,0,0,0,0,1,2,0
gen9vgc2025regj-2483572328,17,1123,3.2,2.0,0.6000000000000001,3,4,1,0,0,0,1,1,1
gen9vgc2025regj-2483571952,1,1073,2.0,2.0,0.0,0,0,0,0,0,0,2,2,0
gen9vgc2025regj-2483571952,3,1073,2.58,2.64,-0.030000000000000027,0,0,0,1,0,1,2,2,0
gen9vgc2025regj-2483571952,5,1073,2.58,0.0,1.29,0,4,4,1,0,1,2,0,1
gen9vgc2025regj-2483571456,1,1395,2.0,1.95,0.025000000000000022,0,0,0,0,1,0,2,2,0
gen9vgc2025regj-2483571456,3,1395,3.0,3.69,-0.345,0,0,0,0,1,0,2,2,0
gen9vgc2025regj-2483571456,5,1395,4.88,4.0,0.43999999999999995,0,0,0,0,1,0,2,2,0
gen9vgc2025regj-2483571456,7,1395,5.3999999999999995,3.3,1.0499999999999998,0,0,0,0,1,0,2,2,0
gen9vgc2025regj-2483571456,9,1395,4.0,3.34,0.33000000000000007,2,0,-2,0,1,0,2,2,0
gen9vgc2025regj-2483571890,1,1059,1.88,2.0,-0.06000000000000005,0,0,0,0,0,0,2,2,0
gen9vgc2025regj-2483571228,1,1200,2.0,2.0,0.0,1,1,0,0,1,0,2,2,0
gen9vgc2025regj-2483571228,3,1200,3.0,2.56,0.21999999999999997,2,1,-1,0,1,1,2,2,0
gen9vgc2025regj-2483571228,5,1200,1.01,3.0100000000000002,-1.0,3,1,-2,0,1,1,1,2,0
gen9vgc2025regj-2483570748,1,1073,2.0,1.9,0.050000000000000044,0,0,0,0,0,0,2,2,0
gen9vgc2025regj-2483570748,3,1073,3.74,1.63,1.0550000000000002,0,0,0,0,1,0,2,2,0
gen9vgc2025regj-2483570748,5,1073,3.77,0.84,1.465,0,0,0,0,1,0,2,2,0
gen9vgc2025regj-2483570631,1,1458,2.3,2.0,0.1499999999999999,0,2,2,0,0,0,2,2,0
gen9vgc2025regj-2483570631,3,1458,3.7699999999999996,2.0,0.8849999999999998,0,2,2,0,1,0,2,2,0
gen9vgc2025regj-2483570631,5,1458,3.3,0.74,1.2799999999999998,2,3,1,0,1,0,2,1,0
gen9vgc2025regj-2483573566,1,1052,3.2800000000000002,2.88,0.20000000000000018,0,0,0,0,1,0,2,2,0
gen9vgc2025regj-2483573566,3,1052,3.2800000000000002,2.69,0.29500000000000015,0,2,2,0,1,0,2,2,0
gen9vgc2025regj-2483573566,5,1052,4.74,1.69,1.5250000000000001,1,3,2,0,1,0,2,1,1
gen9vgc2025regj-2483570830,1,1330,2.65,3.08,-0.21500000000000008,0,0,0,0,1,0,2,2,0
gen9vgc2025regj-2483570830,3,1330,2.0,2.0100000000000002,-0.0050000000000001155,2,1,-1,0,1,0,2,2,0
gen9vgc2025regj-2483570830,5,1330,2.0,1.8900000000000001,0.05499999999999994,3,3,0,1,1,0,2,1,0
gen9vgc2025regj-2483570830,7,1330,2.0,1.0,0.5,4,4,0,1,1,0,2,0,0
gen9vgc2025regj-2483544471,1,1096,1.0699999999999998,2.0,-0.4650000000000001,0,0,0,0,0,0,2,2,0
gen9vgc2025regj-2483544471,3,1096,2.2199999999999998,3.57,-0.675,1,0,-1,0,0,0,2,2,0
gen9vgc2025regj-2483544471,5,1096,0.99,2.73,-0.87,2,0,-2,0,0,0,1,2,0
gen9vgc2025regj-2483544504,1,1320,1.02,1.9100000000000001,-0.44500000000000006,0,0,0,0,0,0,2,2,0
gen9vgc2025regj-2483544504,3,1320,1.56,1.76,-0.09999999999999998,2,0,-2,0,0,0,2,2,0
gen9vgc2025regj-2483544504,5,1320,1.74,2.5,-0.38,2,1,-1,0,0,0,2,2,0
gen9vgc2025regj-2483544504,7,1320,0.0,2.1,-1.05,4,2,-2,0,0,0,0,2,0
gen9vgc2025regj-2483543431,1,1102,2.58,2.43,0.07499999999999996,0,0,0,0,1,1,2,2,0
gen9vgc2025regj-2483543431,3,1102,2.0,2.8000000000000003,-0.40000000000000013,3,0,-3,1,1,1,1,2,0
gen9vgc2025regj-2483542972,1,1106,2.95,2.0,0.4750000000000001,0,0,0,0,0,0,2,2,0
gen9vgc2025regj-2483542972,3,1106,2.89,1.35,0.77,1,0,-1,0,0,0,2,2,0
gen9vgc2025regj-2483542972,5,1106,2.52,3.0,-0.24,2,2,0,0,1,0,2,2,0
gen9vgc2025regj-2483542972,7,1106,1.46,3.0,-0.77,3,2,-1,0,1,0,1,2,0
gen9vgc2025regj-2483543506,1,1400,2.0,1.52,0.24,0,1,1,1,0,0,2,2,0
gen9vgc2025regj-2483543506,3,1400,1.74,0.91,0.415,1,1,0,0,0,0,2,2,0
gen9vgc2025regj-2483543506,5,1400,2.3200000000000003,1.0,0.6600000000000001,2,4,2,0,0,0,2,1,1
gen9vgc2025regj-2483543140,1,1233,2.0,1.3,0.35,1,0,-1,1,0,0,2,2,0
gen9vgc2025regj-2483543140,3,1233,3.8099999999999996,1.2,1.3049999999999997,2,1,-1,1,0,0,1,2,0
gen9vgc2025regj-2483543140,5,1233,3.48,1.0,1.24,2,3,1,0,0,1,1,1,0
gen9vgc2025regj-2483543140,7,1233,2.68,0.26,1.21,2,3,1,0,0,1,1,1,0
gen9vgc2025regj-2483542745,1,1555,2.0,2.57,-0.2849999999999999,0,0,0,0,0,0,2,2,0
gen9vgc2025regj-2483542745,3,1555,2.15,2.67,-0.26,0,0,0,0,0,1,2,2,0
gen9vgc2025regj-2483542745,5,1555,3.07,2.0100000000000002,0.5299999999999998,1,0,-1,0,0,1,2,2,0
gen9vgc2025regj-2483543415,1,1000,1.85,1.88,-0.014999999999999902,0,0,0,0,0,0,2,2,0
gen9vgc2025regj-2483543415,3,1000,1.75,1.76,-0.0050000000000000044,1,1,0,0,0,0,2,2,0
